question,choose_expected,proposed_answer,confidence,notes,question_text
11,1,B,0.75,target=1; raw_tokens={}; marks={}; uncertain=True | MANUAL_OVERRIDE: Passwordless phone/email flow in Experience Cloud maps to Login Discovery + Handler,"Northern Trail Outfitters (NTO) wants its customers to use phone numbers to log in to their new digital portal, which was designed and built using Salesforce Experience Cloud. In order to access the portal, the user will need to do the following: 1. Enter a phone number and/or email address 2. Enter a verification code that is to be sent via email or text. What is the recommended approach to fulfill this requirement?"
12,1,A,0.60,target=1; raw_tokens={'A': 1}; marks={'BC': 1}; uncertain=False,as Security Assertion Markup Language (SAML) or OAuth. NTO wants to use Salesforce Identity to register and authenticate new customers on the website. Which three Salesforce features should an Identity architect use in order to provide social sign-in capabilities for the website? Delegated Authentication
13,1,A,0.52,target=1; raw_tokens={'AB': 1}; marks={}; uncertain=True,An identity architect is implementing a mobile-first Consumer Identity Access Management (CIAM) for external users. User authentication is the only requirement. The users email or mobile phone number should Which two licenses are needed to meet this requirement? SMS Verification Credits
14,2,AB,0.72,"target=2; raw_tokens={'B': 2, 'AC': 1}; marks={'D': 1}; uncertain=True",Universal Container’s (UC) is using Salesforce Experience Cloud site for its container wholesale business. The Identity architect wants to use an authentication provider for the new site. Which two options should be utilized in creating an authentication provider?
15,1,D,0.99,target=1; raw_tokens={'D': 5}; marks={'A': 1}; uncertain=False,Users logging into Salesforce are frequently prompted to verify their identity. The identity architect is required to provide recommendations so that frequency of prompt verification can be reduced. What should the identity architect recommend to meet the requirement?
16,1,C,0.80,target=1; raw_tokens={'C': 2}; marks={'CD': 1}; uncertain=False,"An identity professional, responsible for ensuring secure access to the Salesforce platform, needs to audit and verify user activity during and after login. They want to monitor login attempts, track user authentication methods, and identify suspicious behavior or unauthorized access. Which tool or feature should they leverage to achieve this objective?"
17,1,C,0.68,target=1; raw_tokens={'C': 1}; marks={'C': 1}; uncertain=False,Northern Trail Outfitters (NTO) uses a Security Assertion Markup Language (SAML)-based Identity Provider (IdP) to authenticate employees to all systems. The IdP authenticates users against a Lightweight Directory Access Protocol (LDAP) directory and has access to user information. NTO wants to minimize Salesforce license usage since only a small percentage of users need Salesforce. What is recommended to ensure new employees have immediate access to Salesforce using their current IdP?
18,1,B,0.75,"target=1; raw_tokens={'BE': 1, 'ACE': 1}; marks={}; uncertain=True | MANUAL_OVERRIDE: Passwordless phone/email flow in Experience Cloud maps to Login Discovery + Handler","Northern Trail Outfitters (NTO) wants its customers to use phone numbers to log in to their new digital portal, which was designed and built using Salesforce Experience Cloud. In order to access the portal, the user will need to do the following: 1. Enter a phone number and/or email address 2. Enter a verification code that is to be sent via email or text. What is the recommended approach to fulfill this requirement?"
19,2,AB,0.52,target=2; raw_tokens={'ABD': 1}; marks={'D': 1}; uncertain=True,Universal Containers is creating 2 mobile application that will be secured by Salesforce Identity using the OAuth 2.0 user-agent flow. Application users will authenticate using username and password. They should not be forced to approve API access in the mobile app or reauthenticate for 3 months. Which two connected ape ontions nnd tm he rankimorad = fulfil this Use case?
20,2,BC,0.60,"target=2; raw_tokens={'BC': 1, 'BD': 1}; marks={'D': 1}; uncertain=False",Northern Trail Outfitters manages application functional permissions centrally as Active Directory groups. The CRM_SuperUser and CRM_Reporting_SuperUser groups should respectively give the user the SuperUser and Reporting_SuperUser permission set in Salesforce. Salesforce is the service provider to a Security Assertion Markup Language (SAML) identity provider. How should an identity architect ensure the Active Directory groups are reflected correctly when a user accesses Salesforce?
21,1,D,0.60,"target=1; raw_tokens={'D': 1, 'AB': 1}; marks={}; uncertain=False",Universal Containers (UC) wants to provide single sign-on (SSO) for a business-to-consumer (B2C) application using Salesforce Identity. Which Salesforce license should UC utilize to implement this use case?
22,1,A,0.68,"target=1; raw_tokens={'B': 1, 'A': 1}; marks={'A': 1, 'DE': 1}; uncertain=False",Universal Containers is creating a web application that will be secured by Salesforce Identity using the OAuth 2.0 Web Server Flow (this flow uses the OAuth 2.0 authorization code grant type). Which three OAuth concepts apply to this flow?
23,1,A,0.60,target=1; raw_tokens={'A': 1}; marks={'DE': 1}; uncertain=False,"An insurance company has a connected app in its Salesforce environment that is used to integrate with a Google Workspace (formerly known as G Suite). ‘An identity and access management (IAM) architect has been asked to implement automation to enable users, freeze/suspend users, disable users, and reactivate existing users in Google Workspace upon similar actions in Salesforcs Which solution is recommended to meet this requirement?"
24,1,B,0.80,"target=1; raw_tokens={'B': 2, 'A': 1}; marks={'A': 1}; uncertain=False",Universal Containers is designing an identity architecture that involves integrating Salesforce with an external directory service. The external directory service will act as the central repository for user authentication and authorization across multiple systems within the organization. Which approach should be evaluated to establish trust between Salesforce and the external directory service? © Implementing a federated identity solution based on SAML (Security Assertion Markup Language).
25,1,B,0.60,target=1; raw_tokens={'B': 1}; marks={}; uncertain=False,"Universal Containers (UC) is rolling out its new Customer Identity and Access Management Solution built on top of its existing Salesforce instance. UC wants to allow customers to login using Facebook, Google, and other social sign-on providers. How should this functionality be enabled for UC, assuming all social"
26,1,B,0.75,"target=1; raw_tokens={'D': 1, 'B': 1}; marks={'D': 1}; uncertain=False | MANUAL_OVERRIDE: Configurable self-reg + allow self-register + create only user record aligns with requirement","Northern Trail Outfitters would like to use a portal built on Salesforce Experience Cloud for customer self-service. Guests of the portal should be able to self-register, but be unable to automatically be assigned to a contact record until verified. External Identity licenses have been purchased for the project. After registered guests complete an onboarding process, a flow will create the appropriate account and contact records for the user. Which three steps should an identity architect follow to implement the outlined requirements? AG) Customize the self-registration Apex handler to create only the user record. 8. ‘Select the ""Configurable Self-Reg Page” option under Login & Registration."
27,1,C,0.78,target=1; raw_tokens={}; marks={}; uncertain=True | MANUAL_OVERRIDE: Signed SAML request via Request Signing Certificate mitigates tampering risk,"An identity architect's client has a homegrown identity provider (IdP). Salesforce is used as the service provider (SP). The head of IT is worried that during a SP initiated single sign-on (SSO), the Security Assertion Markup Language (SAML) request content will be altered. What should the identity architect recommend to make sure that there is additional trust between the SP and the IdP? Ay Encrypt the SAML Request using certification authority (CA) signed certificate and decrypt on IdP."
28,2,BD,0.68,"target=2; raw_tokens={'BD': 1, 'B': 1}; marks={'BD': 1, 'A': 1}; uncertain=False","Northern Trail Outfitters (NTO) leverages Microsoft Active Directory (AD) for management of employee usernames, passwords, permissions, and asset access. NTO also owns a third-party single sign-on (SSO) solution. The third-party party SSO solution is used for all corporate applications, including Salesforce. NTO has asked an architect to explore Salesforce Identity Connect for automatic provisioning and deprovisioning of users in Salesforce. What role does identity Connect play in the outlined requirements?"
29,2,BC,0.52,"target=2; raw_tokens={'BCE': 1, 'A': 1}; marks={'D': 1}; uncertain=True",Universal Containers is implementing a new Experience Cloud site and the identity architect wants to use dynamic branding features as part of the login process.
30,1,C,0.60,"target=1; raw_tokens={'C': 1, 'A': 1}; marks={'D': 1}; uncertain=False","Northern Trail Outfitters (NTO) uses the Customer 360 Platform implemented on Salesforce Experience Cloud. The development team in charge has learned of a contactless user feature, which can reduce the overhead of managing customers and partners by creating users without contact information. What is the potential impact to the architecture if NTO decides to implement this feature?"
31,1,D,0.52,target=1; raw_tokens={'BDE': 1}; marks={'D': 1}; uncertain=True,Northern Trail Outfitters (NTO) uses a Security Assertion Markup Language (SAML)-based Identity Provider (IdP) to authenticate employees to all systems. The IdP authenticates users against a Lightweight Directory Access Protocol (LDAP) directory and has access to user information. NTO wants to minimize Salesforce license usage since only a small percentage of users need Salesforce. What is recommended to ensure new employees have immediate access to Salesforce using their current IdP?
32,2,CD,0.60,target=2; raw_tokens={'CD': 1}; marks={'BD': 1}; uncertain=False,"An administrator created a connected app for a custom web application in Salesforce which needs to be visible as a tile In App Launcher. The tile for the custom web application is missing in the app launcher for all users in Salesforce, The administrator requested assistance from an identity architect to resolve the issue. Which two reasons are the source of the Issue?"
33,1,A,0.80,target=1; raw_tokens={'B': 2}; marks={}; uncertain=False | MANUAL_OVERRIDE: JWT Bearer Flow minimizes end-user interaction and improves security,An identity architect is setting up an integration between Salesforce and a third-party system. The third-party system needs to be able to authenticate to Salesforce and then make API calls against the REST API. One of the requirements is that the solution needs to ensure the third party service providers connected app in Salesforce minimizes the need for end user interaction and maximizes security. Which OAuth flow should be used to fulfill the requirement?
34,1,C,0.60,target=1; raw_tokens={'C': 1}; marks={}; uncertain=False,"Universal Containers (UC) has decided to replace the homegrown customer portal with Salesforce Experience Cloud. UC will continue to use its third-party single sign-on (SSO) solution that stores all of its customer and partner credentials. The first time a customer logs in to the Experience Cloud site through SSO, a user record needs to be created automatically. Which solution should an identity architect recommend in order to automatically provision users in Salesforce upon login?"
35,1,C,0.68,"target=1; raw_tokens={'C': 1}; marks={'A': 1, 'C': 1}; uncertain=False",Universal Containers (UC) is considering a Customer 360 initiative to gain a single source of the truth for its customer data across disparate systems and services. UC wants to understand the primary benefits of Customer 360 Identity and how it contributes to a successful Customer 360 Truth project. What are two are key benefits of Customer 360 Identity as it relates to Customer 360?
36,1,A,0.60,"target=1; raw_tokens={'ADE': 1, 'B': 1}; marks={'ADE': 1}; uncertain=True","Northern Trail Outfitters (NTO) is launching a new sportswear brand on its existing consumer portal built on Salesforce Experience Cloud. As part of the launch, emails with promotional links will be sent to existing customers to log in and claim a discount. The marketing manager would like the portal dynamically branded so that users will be directed to the brand link they clicked on; otherwise, users will view a recognizable NTO-branded page. The campaign is launching quickly, so there is no time to procure any additional licenses. However, the development team is available to apply any required changes to the portal. Which approach should the identity architect recommend?"
37,2,AC,0.60,target=2; raw_tokens={'AC': 1}; marks={}; uncertain=False,"An identity professional is working on the configuration of a connected app for Universal Container's (UC) partner portal. UC wants to allow external users to access certain Salesforce data and perform limited actions. However, they also want to enforce additional security measures, such as IP restrictions and session timeout settings. Which configuration option should be used to enforce IP restrictions and session timeout settings for the connected app? Session Settings £.O Login IP Ranges €.Q Custom Permissions"
38,1,B,0.60,target=1; raw_tokens={'B': 1}; marks={'AE': 1}; uncertain=False,Universal Containers is creating a mobile application that will be secured by Salesforce Identity using the OAuth 2.0 user-agent flow (this flow uses the OAuth 2.0 implicit grant type). Which three OAuth concepts apply to this flow?
39,2,AB,0.52,"target=2; raw_tokens={'B': 1}; marks={'AB': 1, 'ABCDE': 1}; uncertain=True",User authentication ‘ ———_ ee -
40,2,BC,0.60,"target=2; raw_tokens={'B': 1, 'BC': 1}; marks={}; uncertain=False","Universal Containers (UC) currently uses Salesforce Sales Cloud and an external billing application. Both Salesforce and the billing application are accessed several times a day to manage customers. UC would like to configure single sign-on and leverage Salesforce as the identity provider. Additionally, UC would like the billing application to be accessible from Salesforce. A redirect is acceptable. Which two Salesforce tools should an identity architect recommend to satisfy the requirements? 4@ Salesforce Canvas 8. @@ App Launcher €.( Identity Connect"
41,1,C,0.60,"target=1; raw_tokens={'C': 1, 'B': 1}; marks={}; uncertain=False","Northern Trail Outfitters (NT‘ sportswear brand on its existing consur) js launching a new Experience Cloud. As part of the launclner portal built on Salesforce will be sent to existing customers to log, emails with promotional links marketing manager would like the port, jn and claim a discount. The users will be directed to the brand link a] dynamically branded so that users will view a recognizable NTO-bratthey clicked on; otherwise, aided page. The campaign is launching quickly, so t additional licenses. However, the develthere is no time to procure any apply any required changes to the port;pment team is available to al. Which approach should the identity arc . hitect recommend?"
42,1,D,0.88,target=1; raw_tokens={'D': 2}; marks={'D': 1}; uncertain=False,"Which two things should be done to ensure end users can only use single sign-on (SSO) to login in to Salesforce? Enable My Domain and select ""Prevent login from https://login.salesforce.com""."
43,1,D,0.60,target=1; raw_tokens={'D': 1}; marks={}; uncertain=False,[Texto OCR degradado]
44,1,D,0.60,"target=1; raw_tokens={'D': 1, 'C': 1}; marks={}; uncertain=False","Northern Trail Outfitters (NTO) is planning to build a new customer service portal and wants to use passwordless login, allowing customers to login with a one-time passcode sent to them via email or SMS. How should the quantity of required Identity Verification Credits be estimated?"
45,1,A,0.60,"target=1; raw_tokens={'BDE': 1, 'A': 1}; marks={}; uncertain=False","Universal Containers (UC) has decided to replace the homegrown customer portal with Salesforce Experience Cloud. UC will continue to use its third-party single sign-on (SSO) solution that stores all of its customer and partner credentials. The first time a customer logs in to the Experience Cloud site through SSO, a user record needs to be created automatically. Which solution should an identity architect recommend in order to automatically provision users in Salesforce upon login?"
46,1,A,0.60,target=1; raw_tokens={'A': 1}; marks={'D': 1}; uncertain=False,"Markup Language (SAML) and OpenID Connect (OIDC). When Salesforce is acting as Identity Provider for this SP, which use case is the determining factor when choosing OIDC or SAML? © The SP needs to perform API calis back to Salesforce on behalf of the user after the user logs in to the service provider. 6. oO OIDC is more secure than SAML and therefore is the obvious choice."
47,1,B,0.75,"target=1; raw_tokens={}; marks={'CD': 1, 'C': 1}; uncertain=False | MANUAL_OVERRIDE: Configurable self-reg + allow self-register + create only user record aligns with requirement","Northern Trail Outfitters would lke to use a porta bult on Salesforce Experience Cloul for customer self-service. Guests of the portal should be able to self-register, but be unable to automatically be assigned to a contact record until verted. External Identity licenses have been purchased forthe project, ‘ter registered quests complete an onboarding process, a flow wil create the appropriate account and contact records forthe user: Which three steos should an identity architect follow to implement the outlined requirements?"
48,1,B,0.52,target=1; raw_tokens={'BD': 1}; marks={'A': 1}; uncertain=True,Universal Containers (UC) wants to provide single sign-on (SSO) for a business-to-consumer (B2C) application using Salesforce Identity. Which Salesforce license should UC utilize to implement this use case?
49,2,AC,0.60,target=2; raw_tokens={'AC': 1}; marks={}; uncertain=False,"The CMO of an advertising company has invited an Identity and Access Management (IAM) specialist to discuss Salesforce out-of-box capabilities for configuring the company’s login and registration experience on Salesforce Experience Cloud. The CMO is looking to brand the login page with the company's logo, background color, login button color, and dynamic right-frame from an external URL. Which two solutions should the IAM specialist recommend? Login & Registration pages can be branded In the Community Administration settings."
50,1,A,0.60,target=1; raw_tokens={'A': 1}; marks={'D': 1}; uncertain=False,[Texto OCR degradado]
51,1,C,0.75,target=1; raw_tokens={}; marks={}; uncertain=True | MANUAL_OVERRIDE: Contactless users are limited to External Identity capabilities,"Northern Trail Outfitters (NTO) uses the Customer 360 Platform implemented on Salesforce Experience Cloud. The development team in charge has learned of a contactless user feature, which can reduce the overhead of managing customers and partners by creating users without contact information. What is the potential impact to the architecture if NTO decides to implement this feature?"
52,1,A,0.52,target=1; raw_tokens={'ABE': 1}; marks={}; uncertain=True,Universal Containers is creating a mobile application that will be secured by Salesforce Identity using the OAuth 2.0 user-agent flow (this flow uses the OAuth 2.0 Implicit grant type). Which three OAuth concepts apply to this flow? Scopes Client ID Authorization Code Verification Code Refresh Token Salesforce Certified Identity and Access Management Archit«
53,2,CE,0.60,"target=2; raw_tokens={'C': 1}; marks={'CE': 1, 'C': 1, 'D': 1}; uncertain=True","Universal Containers uses Salesforce as an identity provider and Concur as the Employee Expense management system. The HR director wants to ensure Concur accounts for employees are created only after the appropriate approval in the Salesforce org, men hee steps shuld heey whee =o mement rs eaarement? ‘AG@ robe User Provstonin fo the comers app. 8.) Create an approval process fora custom objet asocoted wth the provsoring flow, ©) create an approval proces for User object associated wth the provisoing fw. ©. €@ Create an approval process for UserProvsoningResuest object assacied withthe provstoin on ‘"
54,2,AB,0.60,target=2; raw_tokens={'AB': 1}; marks={}; uncertain=False,"The CMO for cc Manag f-box capabilities t-frame from an external URL ‘h two solutions should the IAM Choo: 2 answers Press the ""Prnt Scrn” on vour kevboard to take a asta Sueeui “Gan eau"
55,1,D,0.60,target=1; raw_tokens={'D': 1}; marks={}; uncertain=False,Universal Containers wants to allow its customers to log in to its Experience Cloud via a third party authentication provider that What should an identity architect do to fulfill this requirement?
56,1,D,0.60,target=1; raw_tokens={'D': 1}; marks={}; uncertain=False,Northern Trail Outfitters (NTO) wants to give customers the ability to submit and manage issues with their purchases. It is important for NTO to give its customers the ability to login with their Facebook and Twitter credentials. What should an identity architect recommend to meet these requirements?
57,1,C,0.78,target=1; raw_tokens={'D': 1}; marks={}; uncertain=False | MANUAL_OVERRIDE: Signed SAML request via Request Signing Certificate mitigates tampering risk,"An identity architect's client has a homegrown identity provider (IdP). Salesforce is used as the service provider (SP). The head of IT is worried that during a SP initiated single sign-on (SSO), the Security Assertion Markup Language (SAML) request content will be altered. What should the identity architect recommend to make sure that there is additional trust between the SP and the IdP?"
58,1,B,0.60,target=1; raw_tokens={'B': 1}; marks={'D': 1}; uncertain=False,Northern Trail Outfitters manages application functional permissions centrally as Active Directory groups. The CRM_SuperUse and CRM _ Reporting SuperUser groups should respectively give the user the SuperUser and Reporting_SuperUser permission set in Salesforce. Salesforce is the service provider to a Security Assertion Markup Language (SAML) identity provider. How should an identity architect ensure the Active Directory groups are reflected correctly when a user accesses Salesforce?
59,1,C,0.68,"target=1; raw_tokens={'C': 1}; marks={'C': 1, 'D': 1}; uncertain=False",[Texto OCR degradado]
60,1,C,0.60,target=1; raw_tokens={'C': 1}; marks={'D': 1}; uncertain=False,"Universal Containers (UC) currently uses Salesforce Sales Cloud and an external bling application. Both Salesforce and the billing application are accessed several times a day to manage customers. UC would like to configure single sign-on and leverage Salesforce as the identity provider. ditionally, UC would like the biling application to be accessible from Salesforce. A redirect is acceptable. Which twa Salnetoren rants chavid an dante architect recommend to satisty the requirements?"
61,1,B,0.52,target=1; raw_tokens={'BC': 1}; marks={}; uncertain=True,Universal Containers is creating a mobile application that will be secured by Salesforce Identity using the OAuth 2.0 user-agent flow. Application users will authenticate using username and password. They should not be forced to approve API access in the mobile app or reauthenticate for 3 months. Which two connected app options need to be configured to fulfill this use case?
62,1,B,0.60,"target=1; raw_tokens={'B': 1}; marks={'D': 1, 'A': 1}; uncertain=False",Universal Containers (UC) has built a custom time tracking app for its employees on a third party system. UC wants to leverage Salesforce Identity to control access to the custom app. requirement?
63,1,A,0.60,target=1; raw_tokens={'A': 1}; marks={}; uncertain=False,<< Ga = Users
64,1,A,0.99,"target=1; raw_tokens={'A': 127, 'E': 4, 'BE': 1, 'ABD': 1}; marks={'C': 1}; uncertain=False",ADFS Americas
